,name,videoid,page_dir,file_ext,token_len
0,"Swirling smoke animation, pixel art, fantasy game style, inspired by classic RPGs, fixed camera, full shot, (8-bit:1.3) detail on a solid black background.",JV24kJi,smoke,gif,42
1,"Animated dispersing smoke, pixel art, inspired by 16-bit era game effects, on a solid black background, side shot, (render: Octane), (high resolution:1.2), (frame-by-frame animation:1.5).",3fe3291bf506e4c66dddd3b6f51b7656_w200,smoke,gif,54
2,"Billowing smoke animation, pixel art, 8-bit style, inspired by classic arcade games, solid black background, side view, looping gif, (simplicity:1.3), (high contrast:1.25), (smooth animation:1.5).",olga-ryzhychenko-31,smoke,gif,56
3,"Billowing smoke plumes, sprite sheet animation effect, pixel art style, inspired by 16-bit era game graphics, solid color background, fixed camera, isometric shot, 8K resolution with (volumetric light:1.35).",EEPpNs,smoke,gif,52
4,"Billowing smoke animation, pixel art, 8-bit style, inspired by classic arcade games, straight-on camera, loopable sprite sheet, (high resolution:1.2), (64x64 pixels:1.3).",giphy,smoke,gif,51
5,"Billowing smoke effect, sprite sheet animation for game, pixel art, inspired by classic SNES games, straight view, loopable animation, (high resolution:1.2), (16-bit color palette:1.25), (smooth frame transitions:1.3).",jeong-h-lee-ezgif-com-resize,smoke,gif,59
6,"Billowing smoke, sprite sheet effect animation, pixel art, ArtStation influence, straight-on camera, framing full sprite action, (8K resolution:1.3) (high detail:1.25), solid black background.",ezgif.com-video-to-gif+(14),smoke,gif,50
7,"Billowing smoke plume, sprite sheet animation, pixel art, inspired by 16-bit era RPGs, solid black background, (dynamic lighting:1.2), Unreal Engine, (resolution:8K)",761391_6bc8c,smoke,gif,45
8,"Billowing smoke animation, pixel art sprite sheet, game asset style, inspired by classic arcade games, sharp focus, side view, 4K resolution with (16-bit color depth:1.5) and (smooth animation:1.3).",ea9ff4824adba932f227084b09d0ec1e,smoke,gif,53
9,"Billowing smoke plumes, 2D sprite sheet animation, pixel art style, inspired by classic SNES games, static camera, close-up, (emphasizing motion blur:1.5) (render clarity:0.75) on solid background.",3MfZ,smoke,gif,54
10,"Billowing smoke animation, pixel art, 8-bit style, inspired by classic arcade games, static camera, full shot, high resolution (8K), loopable sprite sheet effect.",2296431_9c6f7,smoke,gif,39
11,"Billowing smoke animation, pixel art, 8-bit style, inspired by classic arcade games, fixed camera, full shot, (smooth animation:1.2) (high detail:1.3), solid black background, (vivid colors: 0.8), (Octane render:1.1).",image_processing20210614-9899-1rfm6to,smoke,gif,63
12,"Energetic lazer beam animation, pixel art, inspired by 16-bit vintage video games, side view, sprite sheet effect, (vivid colors:1.25), (resolution:8K), (detail: high), (HDR lighting:1.3).",Lazer,lazer beam,webp,55
13,"Energetic laser beam sprite sheet, digital illustration, pixel art, inspired by classic arcade games, solid black background, straight-on camera, medium shot, detailed with (vibrant blue and white colors:1.5), (8-bit style:1.25), (high resolution: 1.3).",source,lazer beam,gif,64
14,"Intense purple lazer beam effect, pixel art, cyberpunk aesthetic, inspired by retro arcade games, front view, close-up, high-resolution animation sprite sheet with neon lighting (purple neon lighting:1.5) and (contrast:1.25), 8-bit color depth on solid black background.",1223f768fd2005bb421094e80c6b1da1,lazer beam,gif,64
15,"Pulsating energy beam animation, pixel art, sci-fi style, inspired by classic arcade games, side view, long shot, high resolution, with (vivid colors:1.5) and (neon lighting:1.25), 8K.",SpaceWarp-Interactive-Art-IKONIX-low,lazer beam,gif,54
16,"Pulsating purple laser beam effect, pixel art animation, cyberpunk, inspired by classic 16-bit video games, side view, medium shot, rendered in 4K with neon lighting and (high resolution:1.25) detail.",Purple_Beam_buff,lazer beam,webp,51
17,"Energetic pixelated laser beam animation, digital pixel art, chiptune style, inspired by classic 16-bit video games, fixed camera, medium shot, high-resolution with prominently featured glowing effects and frame-by-frame sprite sheet animation, Deviantart influence.",dcrjrui-5baabde8-4494-4ae5-8427-c3e5588598a7,lazer beam,gif,55
18,"Laser beam sprite sheet animation for game, digital illustration, pixel art, inspired by Deviantart, front view, close-up, HDR lighting (vivid colors:1.5) (dynamic motion:1.25) (high resolution:1.3) (neon lighting:1.4).",530934b3ec4ba0a8533d319147ed3301,lazer beam,gif,62
19,"Energetic purple lazer beam animation, pixel art, inspired by classic arcade games, solid black background, side view, high resolution, vivid colors, (neon lighting:1.5), (8-bit style:1.25), (Unity Engine:1).",600244a253e0f707519756077a534933,lazer beam,gif,55
20,"Energetic purple laser beam effect animation, pixel art, inspired by 16-bit era game graphics, Deviantart, front view, no camera shot required, (high resolution:1.3), (vivid colors:1.25).",d74kefa-d3488cf5-a9d7-4e9d-9f57-7f9f19c708d8,lazer beam,gif,49
21,"Energetic blue laser beam effect animation, pixel art, inspired by classic arcade games, solid dark background, front view, loopable sprite sheet with smooth transitions, (resolution:32x32 pixels), (frame rate:24 fps), (render: pixel perfect)",dbzw1sw-6d998e1e-032f-4e9f-b39c-1c1c4a892c7f,lazer beam,gif,57
22,"Animated flame sprite sheet, pixel art, inspired by classic arcade games, side view, soft light, looping animation, high resolution (4K).",6f081c95e1d4bfea095132e71d68940c,fire,gif,32
23,"Blazing fireball with trailing particles, sprite sheet effect animation, pixel art, inspired by classic 16-bit arcade games, centered perspective, close-up shot, vibrant colors with a (solid black background:1.5), (high resolution:1.3).",tenor,fire,gif,55
24,"Animated vibrant fire sprite, pixel art, 8-bit style, inspired by classic RPG games, fixed camera, full sprite sheet view, high contrasting colors (flame:1.5), (ArtStation:1.2), 4K resolution.",d8litsm-ba1af0d2-6d4c-4396-acdb-4f5ae157417e,fire,gif,51
25,"Animated fiery explosion, pixel art, 8-bit style, inspired by classic arcade games, frontal view, zoomed-in shot, (high-resolution:1.5), (bright colors:1.25), (dynamic lighting:1.3).",9ed10bd927654351cfb7afd1dd68a2bbb88ffc4a,fire,gif,55
26,"Animated flame sprite sheet, pixel art, inspired by vintage video games, solid black background, Unreal Engine, close-up, (8-bit style:1.5), (looping animation:1.3), (sprite sheet effect:1.4), (flame:1.25), side view, (high resolution:0.8), (sharp focus:1.1).",344300ea30a2b20c93607276f03b024b,fire,gif,82
27,"Animated fiery blaze with dynamic fluid motion, pixel art sprite sheet, fantasy style, inspired by classic 16-bit video games, high angle, looping animation, (high resolution:1.5) (vivid colors:1.25).",gif_Fireball_Alpha_Right,fire,gif,52
28,"Animated fire sprite sheet, pixel art, 8-bit style, inspired by classic arcade games, solid color background, straight-on camera, static shot, high resolution, vibrant fantasy vivid colors, (flame animation:1.5), (looping effect:1.25).",8c4243960da81dba835adc6bbbcfda27,fire,gif,59
29,"Animated flame sprite sheet, pixel art, 8-bit style, inspired by classic arcade games, isolated on solid black background, straight-on camera view, loopable animation, (high resolution:1.25), (vivid colors:1.5), soft ambient light.",dfwxu7s-4134dc21-1fa7-4a83-afc6-990602f33b9e,fire,gif,58
30,"Animated pixel art fire sprite sheet, 2D digital illustration, pixel art style, inspired by classic 16-bit video games, frontal camera, full sprite sheet display, high-resolution sharp focus, with a solid black background.",6585923a2ae2ad2b36f0fdec921869be (1),fire,gif,48
31,"Ethereal teal flame, looping sprite sheet animation, pixel art, inspired by retro 16-bit video games, central framing, looping animation, (high resolution:1.25), (vibrant colors:1.5).",justine-delagarde-flamme-anim,fire,gif,49
32,"Animated pixel art fire, looping sprite sheet effect, retro game style, inspired by 16-bit classics, solid navy background, isometric view, vibrant palette, (8-bit color depth:1.5), (smooth animation loop:1.3), (pixelated detail:1.25), medium shot, (sharp focus:1).",camp-smp,fire,gif,75
33,"Animated pixel art fire sprite, loopable game effect, 8-bit style, inspired by classic arcade games, side view, vibrant flames with smoke on solid color background, 4K resolution, high frame rate animation.",dcrjk0t-0c09f95a-ebfe-4435-a3cc-4857feb8518d,fire,gif,45
34,"Animated pixel art fire sprite, digital illustration, 8-bit style, inspired by classic arcade games, front view, close-up shot, 32x32 or 64x64 pixel resolution, sharp focus, ambient light, solid black background.",6585923a2ae2ad2b36f0fdec921869be,fire,gif,54
35,"Dynamic fireball animation, pixel art, 8-bit style, inspired by classic arcade games, solid black background, isometric view, detailed sprite sheet, (resolution:4K) (lighting:neon glow effect:1.5).",1956552089burning-fireball-animated-gif-image,fire,gif,49
36,"Animated pixel art fire, sprite sheet effect, 8-bit style, inspired by classic video games, medium shot, solid black background, (Octane render:1.2), (4K resolution:1.5), (dynamic lighting:1.3).",i-pixelated-the-camp-fire-animation-from-this-link-credit-to-mare_15,fire,gif,54
37,"Animated flame sprite sheet effect, pixel art, vibrant colors, inspired by classic 16-bit video games, front view, loopable animation, resolution (64K:1.5), (high detail:1.25), (frame rate: 24fps).",image_processing20210904-17525-qs4jbf,fire,gif,58
38,"Animated pixel art fire, sprite sheet effect animation, 8-bit style, inspired by classic video games, fixed camera, full shot, high-resolution with (animation smoothness:1.5), (vivid colors:1.25), navy background.",Fire Animation,fire,gif,54
39,"animated flame sprite, digital illustration, pixel art style, inspired by classic 16-bit video games, solid black background, front view, loopable animation, (resolution:4K) (render:Octane render) (lighting:ambient light, soft glow)",gZJ0w-,fire,gif,55
40,"Blazing fire elemental sprite sheet, pixel art animation, 8-bit style, inspired by classic arcade games, fixed camera, full shot, (smooth animation:1.3) on a solid black background.",bfc71d599c4f5f2fd6722bd656b08598,fire,gif,44
41,"Explosive fire animation sprite sheet, pixel art, fantasy game art style, inspired by classic 16-bit RPGs, fixed camera, front view, high resolution with bright vivid colors.",d9dd657cfef3fb5188596ace989a7dd7_w200,fire,gif,39
42,"Dynamic fire sprite sheet effect animation, digital illustration, pixel art style, inspired by classic 16-bit video games, front view, detailed with a (64K resolution:1.2), black solid color background.",5144904ffac5f2f7195c3975b80618be,fire,gif,47
43,"Animated fire elemental sprite, pixel art, 8-bit style, inspired by classic arcade games, frontal view, medium shot, 4K clarity with neon lighting effects, (vivid colors:1.5), (animation loop:1.3).",bfc71d599c4f5f2fd6722bd656b08598 (1),fire,gif,52
44,"Animated pixel art campfire, sprite sheet effect, 8-bit style, inspired by classic RPG games, isometric view, medium shot, high resolution with emphasis on orange and red hues (isometric:1.3), (sprite animation:1.5), (high resolution:1.25).",daniel-tolwinski-ognisko11111111slowertho,fire,gif,63
45,"Animated fire sprite sheet effect, pixel art, retro gaming style, inspired by SNES classics, centered medium shot, sharp focus, (resolution: 64K), (animation frame rate:24fps), solid dark background.",sdujh7d8yzea1,fire,gif,47
46,"Dynamic fireball sprite sheet effect, digital illustration, high-resolution pixel art, inspired by classic arcade games, studio lighting, close-up, Octane render, (vivid colors:1.5), (60fps animation:1.25), (explosion sequence:1.3).",michael-ha-fireball,fire,gif,60
47,"Animated campfire, pixel art, fantasy style, inspired by classic 16-bit RPG games, centered shot, solid dark background, high-detail rendering (fire animation:1.5), (16-bit era:1.25), (fantasy vivid colors:1), (looping sprite sheet:1.2).",6ac7576758871443b78d2a557297bee6,fire,gif,69
48,"Dynamic fire sprite sheet effect, pixel art animation, 8-bit style, inspired by classic arcade games, orthographic camera, loopable sequence, (high resolution:1.5), (flame detail:1.25), (vivid colors:1.25), (Deviantart:1.2).",Z5r4Ro,fire,webp,64
49,"Animated bonfire sprite, pixel art, 8-bit style, inspired by classic RPG games, solid black background, isometric view, loopable animation, (flame dynamics:1.2), (glowing embers:1.3), high resolution.",qa1itlgvb9f11,fire,gif,52
