,file name,category,description,token_len
0,JV24kJi.gif,smoke,"This is an animation of a smoke puff or small explosion, expanding outwards and then dispersing into the air.",25
1,3fe3291bf506e4c66dddd3b6f51b7656_w200.gif,smoke,"This is a gray rock sprite with an animation showing the rock shaking slightly, typically indicating that it's about to move or act.",29
2,olga-ryzhychenko-31.gif,smoke,This is a frame from a smoke animation sequence where white smoke rises and expands against a black background.,22
3,EEPpNs.gif,smoke,"This is an animation of a smoke effect, showing a plume of smoke rising and expanding as it dissipates.",25
4,giphy.gif,smoke,"This is an animation of a smoke explosion effect. The smoke rapidly expands and dissipates, starting dense before thinning out into the surrounding air.",32
5,jeong-h-lee-ezgif-com-resize.gif,smoke,"This image is a grayscale sprite sheet showing a rolling animation, possibly for a video game.",21
6,ezgif.com-video-to-gif+(14).gif,smoke,This is a smoke or steam animation where the particles rise and dissipate gradually.,18
7,761391_6bc8c.gif,smoke,This is a flame animation sequence featuring a vertical torch sprite transitioning from fully lit to extinguished.,21
8,ea9ff4824adba932f227084b09d0ec1e.gif,smoke,"This is a smoke puff effect, expanding and dissipating. It's grayscale, likely for use in games or animations as a visual effect.",32
9,3MfZ.gif,smoke,This is a smoke animation sprite sheet showing a puff of smoke expanding and dissipating over time.,22
10,2296431_9c6f7.gif,smoke,This sprite sheet animation appears to show a looping sequence of smoke rising or a misty substance dissipating upward.,25
11,image_processing20210614-9899-1rfm6to.gif,smoke,"The image shows a stylized, cartoon-like explosion sequence depicted in a series of frames for animation.",23
12,Lazer.webp,lazer beam,The sprite sheet animation displays a looping sequence of a blue and white energy beam firing from right to left.,24
13,source.gif,lazer beam,"It's a looping animation of a horizontal blue energy beam with a glowing white center, expanding and contracting slightly.",25
14,1223f768fd2005bb421094e80c6b1da1.gif,lazer beam,"It's an animation of a vibrant, pulsating purple energy beam with a bright white core, suggesting a powerful laser or magical attack.",30
15,SpaceWarp-Interactive-Art-IKONIX-low.gif,lazer beam,"This is not a sprite sheet animation. It's a static image depicting a bright blue energy beam emitting from a circular source, suggesting a science fiction or fantastical theme.",37
16,Purple_Beam_buff.webp,lazer beam,"The image shows a single frame of a bright, purple energy beam with glowing particles, likely intended for a 2D game effect.",28
17,dcrjrui-5baabde8-4494-4ae5-8427-c3e5588598a7.gif,lazer beam,"This is a single-frame pixel art image of a projectile or magical attack with a bright, glowing effect, not an animation sheet.",30
18,530934b3ec4ba0a8533d319147ed3301.gif,lazer beam,It's an energy beam animation featuring a glowing orb emitting a concentrated blue laser with trailing light effects.,23
19,600244a253e0f707519756077a534933.gif,lazer beam,This image depicts an animated purple energy beam charging and then firing to the right. The visuals include dynamic light effects and particles.,27
20,d74kefa-d3488cf5-a9d7-4e9d-9f57-7f9f19c708d8.gif,lazer beam,"It's an animation of a magic or energy projectile being fired. Starts from a gathered point, extends forward into a long beam.",29
21,dbzw1sw-6d998e1e-032f-4e9f-b39c-1c1c4a892c7f.gif,lazer beam,The image appears to be a single frame from an animation of a glowing energy beam or projectile.,22
22,explosion-sprites.gif,need_process,"This is an animated fire sprite with a looping effect, showing a flame flickering and varying in intensity.",24
23,6f081c95e1d4bfea095132e71d68940c.gif,fire,"The sprite sheet shows a looping animation of a stylized flame flickering. The flame has a smooth, flowing motion, simulating a natural fire.",33
24,tenor.gif,fire,"This is an animated sprite of a fireball moving from left to right, with trailing flames and a glowing effect.",24
25,d8litsm-ba1af0d2-6d4c-4396-acdb-4f5ae157417e.gif,fire,"It's an animated flame with fluid, flickering motion, showcasing various stages of a fire's intensity and movement.",25
26,9ed10bd927654351cfb7afd1dd68a2bbb88ffc4a.gif,fire,"This appears to be a fire or explosion sprite animation with bright, glowing orange and yellow hues, likely used for a video game effect.",29
27,344300ea30a2b20c93607276f03b024b.gif,fire,"This is a looping animation of a flame with a glow effect, showcasing its flickering and changing shape.",24
28,gif_Fireball_Alpha_Right.gif,fire,"The animation displays a looping flame with a glowing base, simulating a realistic fire motion.",21
29,8c4243960da81dba835adc6bbbcfda27.gif,fire,"This is an image of a single flame, not a sprite sheet. The flame has a smooth gradient from yellow to red, suggesting a glowing, animated fire.",34
30,dfwxu7s-4134dc21-1fa7-4a83-afc6-990602f33b9e.gif,fire,"This is an animation of a flame with a smooth, flickering motion, giving the appearance of a gentle fire burning.",26
31,6585923a2ae2ad2b36f0fdec921869be (1).gif,fire,It's a pixelated animation of a campfire with fluctuating flames and scattered embers.,20
32,justine-delagarde-flamme-anim.gif,fire,It's a ghostly figure sprite sheet with a hovering and glowing animation sequence.,17
33,camp-smp.gif,fire,This is a pixel art animation of a flickering flame. It contains frames that simulate the changing shape and light intensity of a fire.,30
34,dcrjk0t-0c09f95a-ebfe-4435-a3cc-4857feb8518d.gif,fire,"This appears to be a small, pixelated animation of a flame, with yellow and orange colors depicting flickering or burning.",27
35,6585923a2ae2ad2b36f0fdec921869be.gif,fire,It's a pixel art animation of a campfire with a flickering flame and glowing embers.,21
36,1956552089burning-fireball-animated-gif-image.gif,fire,"This sprite sheet depicts a fireball animation, showcasing an expanding and swirling ball of fire with trailing embers and flames.",26
37,i-pixelated-the-camp-fire-animation-from-this-link-credit-to-mare_15.gif,fire,It's a pixel art animation of a campfire with logs and flickering flames.,18
38,image_processing20210904-17525-qs4jbf.gif,fire,"It appears to be a simple two-frame sprite sheet with illustrations of a flame, intended for a basic looping animation.",27
39,Fire Animation.gif,fire,This is a pixel art animation of a campfire with a looping flame and glowing embers.,21
40,gZJ0w-.gif,fire,"This is an animation of a single flame, smoothly looping through various stages of flickering and combustion.",23
41,bfc71d599c4f5f2fd6722bd656b08598.gif,fire,It's an animated flame effect showing a fireball moving from left to right with trailing embers and flickering flames.,25
42,d9dd657cfef3fb5188596ace989a7dd7_w200.gif,fire,This is an animation of an explosion. It starts with a bright flash and expands into a fiery burst with smoke and embers.,28
43,5144904ffac5f2f7195c3975b80618be.gif,fire,"This is an animation of a fire with bright yellow-orange flames and rising smoke, set against a black background.",25
44,bfc71d599c4f5f2fd6722bd656b08598 (1).gif,fire,"The sprite sheet depicts a looping animation of a flame, showing flickering and undulating movements typical of fire.",26
45,daniel-tolwinski-ognisko11111111slowertho.gif,fire,This is a pixel art animation of a flickering campfire with orange and yellow flames over logs.,21
46,sdujh7d8yzea1.gif,fire,This is a pixel art animation of a fire with flames rising and flickering against a dark background.,22
47,michael-ha-fireball.gif,fire,It's an animation of a fiery meteorite traveling to the right with trailing embers and smoke.,22
48,6ac7576758871443b78d2a557297bee6.gif,fire,This is a pixel art animation of a campfire with flickering flames and rising embers.,20
49,Z5r4Ro.webp,fire,"It's a pixel art animation of a meteor with a fiery tail descending, likely meant for a game effect.",24
50,qa1itlgvb9f11.gif,fire,"This is a pixel art animation of a fire burning. The flames move dynamically, suggesting a looping animation for a game or similar media.",31
51,rowan-rees-fireball.gif,fire,"It's a single frame of a fireball with a smooth, comet-like tail, implying a fast, fiery trajectory.",28
52,fireball-fire.gif,fire,"This is an animated sprite of a flame with a smooth looping animation, showing the fire flickering and rising upwards.",26
53,Torch_Gif.gif,fire,"It's a pixel art torch with a flickering flame animation, likely intended for a video game.",22
54,fire-sphere-spell.gif,fire,"Fiery orb with crackling energy, pulsating and rotating. Seems to simulate a magical fireball or energy sphere.",26
55,12af711515dda548b39fe97683f3e618.gif,fire,"This is an animated image of a stylized, glowing flame flickering and emitting smaller particles upward, simulating a fire burning.",29
56,Z5r4Ro (1).webp,fire,"This is a pixel art animation of an object descending with a fiery trail, resembling a meteor or falling explosive.",25
57,joe-griffin-fire-animation.gif,fire,This is a pixel art animation of a fire with flames flickering and small sparks rising.,20
58,fire-17.gif,fire,"This animation displays a looping fire explosion, with flames expanding and rising from a central point.
",21
59,db9d7d318004e340ab96151c30623a47.gif,bullet,"The animation depicts a glowing energy ball expanding and contracting with a bright core and cyan outer glow, commonly used to represent magic or power in games.",32
60,00ec7e42197611.57d10a237d0a9.gif,bullet,"The animation depicts a glowing light that pulses and flickers, suggesting an energy burst or magic spell effect.",23
61,eg_fireball_sprite_by_toneyhadnotjr-d7zb5fk.gif,bullet,"This is an animation of a blue, comet-like object with a glowing center and trailing particles, indicating rapid motion, likely simulating flight or space travel.",35
62,Spiritian.gif,bullet,"This image shows a glowing blue magical explosion with particles radiating outward, creating a sparkling effect.",22
63,Fishman-Fireball-v2-copy.gif,bullet,"The sprite sheet depicts a glowing, aqua-colored flame-like shape with a smooth animation of flickering and pulsating, suggesting a ghostly or magical essence.",35
64,dbcm9sp-22cee56b-9065-4018-a906-04e5a4181d45.gif,bullet,"This is an animation of a blue, glowing, magical energy burst. It expands and contracts with bright particles radiating outward.",28
